Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,117.91999816894531,119.0199966430664,117.79000091552734,118.58999633789062,112.4675064086914,529400
2019-02-07,118.19999694824219,119.54000091552734,117.4800033569336,119.1500015258789,112.99860382080078,553100
2019-02-08,118.47000122070312,118.72000122070312,117.75,118.58999633789062,112.4675064086914,355900
2019-02-11,119.02999877929688,120.68000030517578,118.58999633789062,119.86000061035156,113.67193603515625,789400
2019-02-12,121.16999816894531,123.5,119.55999755859375,120.80000305175781,114.56342315673828,1029300
2019-02-13,120.54000091552734,121.19999694824219,119.5999984741211,120.19000244140625,113.98492431640625,578700
2019-02-14,119.45999908447266,121.4000015258789,118.77999877929688,121.04000091552734,114.79102325439453,419800
2019-02-15,121.81999969482422,122.41000366210938,121.33000183105469,122.27999877929688,115.96698760986328,311900
2019-02-19,122.0,123.52999877929688,121.66999816894531,122.51000213623047,116.18513488769531,373300
2019-02-20,122.1500015258789,123.3499984741211,121.7699966430664,122.8499984741211,116.50757598876953,277000
2019-02-21,122.54000091552734,123.41999816894531,121.83999633789062,122.37999725341797,116.06184387207031,317400
2019-02-22,122.30000305175781,123.45999908447266,121.68000030517578,122.38999938964844,116.07131958007812,362000
2019-02-25,123.0,123.75,121.41999816894531,121.95999908447266,115.6635513305664,479000
2019-02-26,121.51000213623047,121.55999755859375,120.31999969482422,120.55999755859375,114.65544128417969,300300
2019-02-27,120.45999908447266,120.93000030517578,119.79000091552734,120.62000274658203,114.71249389648438,272600
2019-02-28,120.36000061035156,121.56999969482422,120.05999755859375,120.95999908447266,115.0358657836914,395100
2019-03-01,121.97000122070312,122.9000015258789,120.44000244140625,122.5999984741211,116.59552764892578,349600
2019-03-04,122.83999633789062,123.16999816894531,120.81999969482422,122.02999877929688,116.0534439086914,356200
2019-03-05,121.86000061035156,122.55999755859375,120.25,121.27999877929688,115.34017944335938,175400
2019-03-06,121.31999969482422,121.33999633789062,119.6500015258789,120.05999755859375,114.17991638183594,460700
2019-03-07,120.05999755859375,120.66999816894531,119.48999786376953,119.80000305175781,113.93268585205078,199900
2019-03-08,118.93000030517578,119.76000213623047,118.18000030517578,119.16999816894531,113.33353424072266,344500
2019-03-11,119.51000213623047,121.04000091552734,119.06999969482422,120.9800033569336,115.05488586425781,219500
2019-03-12,121.08000183105469,122.37000274658203,120.5,122.2300033569336,116.24364471435547,260200
2019-03-13,122.69000244140625,123.63999938964844,122.3499984741211,122.80999755859375,116.79525756835938,578100
2019-03-14,122.7300033569336,123.70999908447266,121.79000091552734,123.55000305175781,117.4990234375,381200
2019-03-15,124.0,124.26000213623047,122.7699966430664,123.37999725341797,117.33731842041016,650400
2019-03-18,123.55999755859375,123.55999755859375,121.54000091552734,123.2300033569336,117.1946792602539,539900
2019-03-19,123.5,123.68000030517578,122.55999755859375,123.30999755859375,117.27075958251953,168200
2019-03-20,122.30000305175781,124.48999786376953,122.30000305175781,123.22000122070312,117.18517303466797,262100
2019-03-21,122.87999725341797,125.48999786376953,122.87999725341797,125.16000366210938,119.03016662597656,496300
2019-03-22,124.54000091552734,124.87999725341797,122.97000122070312,123.0199966430664,116.99496459960938,272800
2019-03-25,122.58000183105469,122.87000274658203,121.29000091552734,122.44000244140625,116.443359375,331500
2019-03-26,123.54000091552734,123.73999786376953,122.33999633789062,123.23999786376953,117.20419311523438,336000
2019-03-27,123.36000061035156,125.81999969482422,122.2699966430664,125.2699966430664,119.13475799560547,399400
2019-03-28,125.12999725341797,127.2699966430664,124.54000091552734,126.66999816894531,120.4661865234375,219300
2019-03-29,127.45999908447266,128.63999938964844,126.47000122070312,128.02999877929688,121.75959777832031,352700
2019-04-01,128.35000610351562,129.52999877929688,126.06999969482422,127.43000030517578,121.18898010253906,296700
2019-04-02,127.69000244140625,128.02999877929688,125.81999969482422,126.55000305175781,120.3520736694336,259300
2019-04-03,127.20999908447266,127.25,125.58999633789062,125.9800033569336,119.80998992919922,372700
2019-04-04,126.2300033569336,126.98999786376953,124.95999908447266,125.80999755859375,119.6483154296875,323400
2019-04-05,126.02999877929688,127.12999725341797,125.0,125.47000122070312,119.32496643066406,477700
2019-04-08,125.58999633789062,125.94999694824219,124.02999877929688,125.52999877929688,119.38201904296875,694000
2019-04-09,125.52999877929688,127.08000183105469,124.69999694824219,125.69999694824219,119.54369354248047,291500
2019-04-10,126.04000091552734,127.12000274658203,125.58000183105469,126.41999816894531,120.22844696044922,511900
2019-04-11,126.72000122070312,128.36000061035156,126.44000244140625,128.10000610351562,121.82615661621094,436700
2019-04-12,128.49000549316406,129.22999572753906,127.93000030517578,128.66000366210938,122.35875701904297,377900
2019-04-15,128.97000122070312,129.8699951171875,128.25999450683594,128.67999267578125,122.37773895263672,388900
2019-04-16,129.6999969482422,129.6999969482422,124.98999786376953,125.19999694824219,119.06819915771484,443400
2019-04-17,126.02999877929688,126.23999786376953,119.62000274658203,120.48999786376953,114.5888671875,897300
2019-04-18,121.12000274658203,123.30999755859375,120.19000244140625,122.83000183105469,116.81427764892578,641100
2019-04-22,122.23999786376953,125.48999786376953,122.23999786376953,123.25,117.21368408203125,359400
2019-04-23,123.6500015258789,126.55999755859375,123.6500015258789,125.72000122070312,119.56271362304688,438300
2019-04-24,125.51000213623047,127.9800033569336,125.51000213623047,127.61000061035156,121.36017608642578,372500
2019-04-25,126.91999816894531,128.66000366210938,126.47000122070312,127.98999786376953,121.72154235839844,230400
2019-04-26,127.98999786376953,129.50999450683594,127.51000213623047,129.11000061035156,122.78668212890625,279000
2019-04-29,129.44000244140625,130.85000610351562,128.83999633789062,130.3300018310547,123.94693756103516,575300
2019-04-30,130.75,131.6999969482422,130.17999267578125,130.97999572753906,124.56510925292969,335500
2019-05-01,131.5800018310547,132.52000427246094,130.1300048828125,131.5,125.05960845947266,387800
2019-05-02,131.00999450683594,132.69000244140625,130.47999572753906,131.9600067138672,125.49713897705078,352500
2019-05-03,133.0,134.99000549316406,132.9499969482422,133.22999572753906,126.70494079589844,476400
2019-05-06,131.55999755859375,134.05999755859375,131.5500030517578,134.00999450683594,127.44670867919922,629100
2019-05-07,132.92999267578125,133.52999877929688,129.91000366210938,130.97000122070312,124.55561828613281,493600
2019-05-08,131.02999877929688,131.8000030517578,129.60000610351562,130.2100067138672,123.83284759521484,845200
2019-05-09,129.41000366210938,130.63999938964844,127.95999908447266,129.91000366210938,123.5475082397461,410700
2019-05-10,129.6699981689453,130.0500030517578,127.06999969482422,129.22999572753906,122.90082550048828,866200
2019-05-13,126.73999786376953,127.3499984741211,124.54000091552734,125.06999969482422,118.94456481933594,552600
2019-05-14,127.05000305175781,134.49000549316406,127.05000305175781,130.63999938964844,124.24176788330078,1053600
2019-05-15,130.8000030517578,132.8699951171875,130.0399932861328,131.4199981689453,124.98357391357422,502800
2019-05-16,132.1999969482422,135.97000122070312,132.0399932861328,133.72000122070312,127.17091369628906,596400
2019-05-17,132.39999389648438,135.6699981689453,132.39999389648438,133.35000610351562,126.81903839111328,419000
2019-05-20,132.97999572753906,135.10000610351562,132.50999450683594,134.75999450683594,128.15997314453125,554400
2019-05-21,134.8000030517578,137.27000427246094,134.8000030517578,135.8000030517578,129.1490478515625,703500
2019-05-22,136.38999938964844,137.60000610351562,135.63999938964844,136.11000061035156,129.44386291503906,442300
2019-05-23,135.2100067138672,135.9199981689453,134.3000030517578,134.8000030517578,128.19801330566406,486500
2019-05-24,135.60000610351562,136.47999572753906,134.72000122070312,135.11000061035156,128.49282836914062,530400
2019-05-28,135.49000549316406,137.6199951171875,132.66000366210938,133.9199981689453,127.36114501953125,4043700
2019-05-29,132.67999267578125,133.9199981689453,131.75999450683594,133.41000366210938,126.8760986328125,527800
2019-05-30,133.33999633789062,134.83999633789062,132.52999877929688,133.35000610351562,126.81903839111328,502500
2019-05-31,131.77000427246094,133.97000122070312,130.2899932861328,133.67999267578125,127.13287353515625,668600
2019-06-03,133.88999938964844,134.9199981689453,133.11000061035156,134.07000732421875,127.50377655029297,514300
2019-06-04,135.0,136.16000366210938,134.52000427246094,135.9199981689453,129.26316833496094,576400
2019-06-05,136.39999389648438,136.97999572753906,135.35000610351562,136.97999572753906,130.27127075195312,605800
2019-06-06,136.97999572753906,137.67999267578125,135.61000061035156,137.22999572753906,130.50900268554688,490500
2019-06-07,137.63999938964844,138.8699951171875,136.72999572753906,138.02000427246094,131.26036071777344,535400
2019-06-10,138.52000427246094,141.25999450683594,138.36000061035156,140.89999389648438,133.999267578125,410000
2019-06-11,141.27999877929688,142.35000610351562,139.00999450683594,140.4499969482422,133.89439392089844,472600
2019-06-12,140.49000549316406,142.47999572753906,140.0500030517578,142.38999938964844,135.74386596679688,585500
2019-06-13,142.75,142.97999572753906,140.6699981689453,141.8300018310547,135.2100067138672,436700
2019-06-14,142.08999633789062,142.85000610351562,140.38999938964844,140.42999267578125,133.87535095214844,278800
2019-06-17,140.44000244140625,142.80999755859375,140.36000061035156,142.64999389648438,135.99171447753906,337400
2019-06-18,143.47000122070312,144.57000732421875,142.5500030517578,142.9199981689453,136.24911499023438,332200
2019-06-19,142.6199951171875,145.5500030517578,142.6199951171875,145.0500030517578,138.27969360351562,392200
2019-06-20,146.50999450683594,146.6199951171875,143.72000122070312,145.3300018310547,138.54656982421875,242100
2019-06-21,144.2899932861328,144.9199981689453,142.64999389648438,144.9199981689453,138.1558074951172,1515500
2019-06-24,144.9199981689453,145.7899932861328,144.0800018310547,145.3000030517578,138.51803588867188,425500
2019-06-25,145.63999938964844,146.9600067138672,145.27000427246094,146.07000732421875,139.25209045410156,465100
2019-06-26,146.19000244140625,146.9600067138672,144.89999389648438,145.35000610351562,138.56568908691406,496200
2019-06-27,146.08999633789062,146.9600067138672,145.8300018310547,146.5399932861328,139.7001495361328,605000
2019-06-28,146.63999938964844,148.8800048828125,146.14999389648438,148.8800048828125,141.93092346191406,1001200
2019-07-01,149.97999572753906,151.60000610351562,148.77000427246094,149.88999938964844,142.89378356933594,608200
2019-07-02,149.72999572753906,151.55999755859375,149.47999572753906,150.97000122070312,143.92337036132812,490000
