Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,106.72000122070312,108.58999633789062,105.29000091552734,107.45999908447266,102.98731231689453,1802100
2019-01-03,106.3499984741211,107.0,101.56999969482422,101.73999786376953,97.50538635253906,3344300
2019-01-04,103.13999938964844,107.91999816894531,103.13999938964844,107.80999755859375,103.3227310180664,3045300
2019-01-07,107.41000366210938,108.87999725341797,105.94999694824219,108.01000213623047,103.51441955566406,1529000
2019-01-08,108.86000061035156,110.06999969482422,107.81999969482422,109.76000213623047,105.19156646728516,1631100
2019-01-09,109.93000030517578,110.52999877929688,108.58999633789062,109.19999694824219,104.65487670898438,2750100
2019-01-10,108.31999969482422,111.16999816894531,108.0,110.05000305175781,105.4695053100586,1682900
2019-01-11,109.2699966430664,109.44999694824219,107.33000183105469,109.41999816894531,104.86573791503906,1819700
2019-01-14,108.62999725341797,109.0999984741211,107.83000183105469,108.12999725341797,103.6294174194336,1411400
2019-01-15,108.27999877929688,110.23999786376953,107.54000091552734,110.18000030517578,105.5940933227539,1788100
2019-01-16,109.87000274658203,111.37000274658203,109.08999633789062,109.27999877929688,104.7315673828125,2817100
2019-01-17,108.80000305175781,109.88999938964844,108.18000030517578,108.47000122070312,103.95525360107422,2143900
2019-01-18,109.80000305175781,109.80000305175781,108.26000213623047,109.05000305175781,104.5111312866211,2361200
2019-01-22,108.70999908447266,108.8499984741211,106.0199966430664,107.26000213623047,102.79563903808594,2799300
2019-01-23,107.44999694824219,108.37000274658203,106.58000183105469,108.08999633789062,103.59107971191406,1660300
2019-01-24,108.05999755859375,108.94999694824219,107.4000015258789,108.23999786376953,103.73484802246094,769200
2019-01-25,109.18000030517578,109.93000030517578,107.80999755859375,109.8499984741211,105.27782440185547,1587700
2019-01-28,109.11000061035156,110.83999633789062,108.73999786376953,110.52999877929688,105.92953491210938,1355500
2019-01-29,110.47000122070312,111.33999633789062,109.9800033569336,111.12000274658203,106.49497985839844,1186700
2019-01-30,111.75,113.77999877929688,111.0199966430664,113.63999938964844,108.91007995605469,2514400
2019-01-31,113.5999984741211,115.02999877929688,112.68000030517578,114.52999877929688,109.7630386352539,2281100
2019-02-01,114.79000091552734,115.19999694824219,114.01000213623047,114.56999969482422,109.8013687133789,1540800
2019-02-04,114.68000030517578,115.69000244140625,114.43000030517578,115.6500015258789,110.83642578125,1070200
2019-02-05,115.97000122070312,117.0,115.7699966430664,116.91000366210938,112.0439682006836,1448900
2019-02-06,116.7699966430664,117.75,116.66999816894531,117.2699966430664,112.38899993896484,1555800
2019-02-07,116.41999816894531,116.83000183105469,114.76000213623047,115.5199966430664,110.71183013916016,1360000
2019-02-08,114.58000183105469,115.51000213623047,114.58000183105469,115.4800033569336,110.67350769042969,1381300
2019-02-11,115.86000061035156,116.69000244140625,115.45999908447266,115.6500015258789,110.83642578125,1022200
2019-02-12,116.41000366210938,116.7699966430664,114.48999786376953,114.73999786376953,109.96429443359375,2374500
